Mean
0.000754437500000002
0.000772897916666669
0.000782615625000002
0.000804108333333333
0.000836254166666668
0.000867047916666669
0.000928746875000000
0.000958048958333333
0.000986614583333332
0.00101359479166667
0.00104333020833333
0.00107237708333333
0.00110162083333333
0.00113022708333333
0.00115593229166666
0.00117598645833333
0.00121735312500000
0.00124721979166667
0.00127629166666667
0.00130568750000000
0.00133554687500000
0.00136238750000000

CI lower		CI upper
0.000754193620831200	0.000754681379168805
0.000771956814715202	0.000773839018618136
0.000782186296735827	0.000783044953264177
0.000803868601901050	0.000804348064765616
0.000835852719405533	0.000836655613927803
0.000866660382748320	0.000867435450585019
0.000928379991889599	0.000929113758110402
0.000957940333280131	0.000958157583386535
0.000986499149441806	0.000986730017224858
0.00101343207501046	0.00101375750832287
0.00104316073015859	0.00104349968650807
0.00107226794352626	0.00107248622314040
0.00110143385022137	0.00110180781644529
0.00112999835526911	0.00113045581139756
0.00115522509200919	0.00115663949132413
0.00117489931679916	0.00117707359986751
0.00121721108085122	0.00121749516914878
0.00124706310942579	0.00124737647390755
0.00127607147565023	0.00127651185768310
0.00130555328493912	0.00130582171506088
0.00133535042330336	0.00133574332669664
0.00136228209689504	0.00136249290310496
